data_trimestre,fundo,mandato,tipo_gestao,segmento_atuacao,cnpj_fundo,Qdade_cotas_emitidas,nome_ativo,cnpj_ativo,quantidade_ativo,valor_ativo,size
2021/06,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII SUNOFOFI - SNFF11,40.011.225/0001-68,30000.0,2979000.0,5.013936308516011
2021/06,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII VERS CRI - VSLH11,36.244.015/0001-42,1382370.0,14722240.5,5.013936308516011
2021/06,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII VERS CRI - VSLH13,36.244.015/0001-42,466100.0,4963965.0,5.013936308516011
2021/03,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII DEVANT - DEVA15,37.087.810/0001-37,149264.0,17725100.0,5.013936308516011
2021/03,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII DEVANT - DEVA16,37.087.810/0001-37,35123.0,4170856.25,5.013936308516011
2021/03,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII HECTARE - HCTR13,30.248.180/0001-96,56499.0,8596322.85,5.013936308516011
2021/03,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII HECTARE - HCTR14,30.248.180/0001-96,45998.0,6998595.7,5.013936308516011
2021/06,BB RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.716.161/0001-93,1035000.0,MILLENIUM FII,27.602.955/0001-75,139010.0,4251838.73,5.003277820208132
2019/12,BB RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.716.161/0001-93,1035000.0,FII MILLENIUM,27.602.955/0001-75,126960.0,11121173.0,5.003277820208132
2020/03,BB RENDA DE PAPEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,15.394.563/0001-89,107481.0,FII BB PROGRESSIVO II,14.410.722/0001-29,12000.0,2059200.0,5.000339944898523
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,AUTONOMY EDIFICIOS CORPORATIVOS FII,35.765.826/0001-26,72503.0,5957571.51,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,BARIGUI S/A CREDITO FINANCIAMENTO E INVE,00.556.603/0001-74,51288.0,5359596.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,BB PROGRESSIVO II FI IMOB FII,14.410.722/0001-29,16351.0,1882163.61,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,BRESCO - FUNDO DE INVESTIMENTO IMOBILIAR,20.748.515/0001-81,124335.0,12463340.4,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,CSHG BRASIL SHOPPING - FUNDO DE INVESTIM,08.431.747/0001-06,8076.0,1625779.56,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,CSHG JHSF PRIME OFFICES FII,11.260.134/0001-68,2044.0,446000.8,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,CSHG LOGISTICA FI IMOB,11.728.688/0001-47,2036.0,343269.6,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,CSHG RECEBIVEIS IMOBILIARIOS BC - FUNDO,11.160.521/0001-22,115095.0,11967576.1,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,CSHG RENDA URBANA - FDO INV IMOB - FII,29.641.226/0001-53,34465.0,4032405.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FDO INV IMOB - BTG PACTUAL CREDITO IMOBI,29.787.928/0001-40,104468.0,9715524.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FDO INV IMOB SHOPPING PATIO HIGIENOPOLIS,03.507.519/0001-59,689.0,559123.5,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FDO INV IMOB TORRE NORTE,04.722.883/0001-02,9808.0,1392539.84,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FDO INV. IMOB. VBI CRI,28.729.197/0001-13,17256.0,1752174.24,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FDO. INV. IMOB. VBI PRIME PROPERTIES,35.652.102/0001-76,187199.0,17660353.66,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII CAMPOS FARIA LIMA,11.602.654/0001-01,76138.0,8063014.2,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII CAPI SEC,18.979.895/0001-13,35475.0,3555304.5,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII CYRELA THERA CORPORATE,13.966.653/0001-71,10296.0,1419818.4,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII D PEDRO,10.869.155/0001-12,61.0,146216.39,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII JS REAL,13.371.132/0001-71,198327.0,17750266.5,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII KINEA RI,16.706.958/0001-32,348577.0,31371930.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII MAUA,23.648.935/0001-84,81734.0,8291914.3,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII OLIMPIA,15.296.696/0001-12,40272.0,3906384.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII RBR RENDIMENTO HIGH GRADE,29.467.977/0001-03,136000.0,13389200.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII RIO BRAVO RENDA EDUCACIONAL,13.873.457/0001-52,33505.0,4740622.45,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII RIO NEGRO,15.006.286/0001-90,25736.0,1590999.52,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII RIOB VA,15.576.907/0001-70,14051.0,1585655.35,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII TBOFFICE,17.365.105/0001-47,45304.0,9060.8,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII TORRE ALMIRANTE,07.122.725/0001-00,2544.0,3098592.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII XP MALLS,28.757.546/0001-00,94572.0,9759830.4,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FIM IMOB BM EDIFICIO GALERIA FII,15.333.306/0001-37,1500.0,38790.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FUNDO DE INV IMOBILIARIO THE ONE,12.948.291/0001-23,636.0,85363.92,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FUNDO DE INVESTIMENTO IMOBILIARIO FI IMO,08.924.783/0001-01,261969.0,21219489.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FUNDO INVEST IMOB RIO BRAVO RENDA CORP,03.683.056/0001-86,124963.0,17369857.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,HG REAL ESTATE-FUNDO DE INVESTIMENTO IMO,09.072.017/0001-29,95181.0,12644795.85,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,HSI LOGISTICA FII,32.903.621/0001-71,8297.0,827957.63,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,HSI MALLS FUNDO DE INVESTIMENTO IMOBILIA,32.892.018/0001-31,180615.0,16146981.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,JRDM - FII SHOPJSUL,14.879.856/0001-93,6128.0,404448.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,KINEA HIGH YIELD CRI FDO INV IMOB - FII,30.130.708/0001-28,82964.0,9258782.4,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,KINEA INDICES DE PRECOS FDO INV IMOB - F,24.960.430/0001-13,245801.0,26263836.85,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,KINEA RENDA IMOBILIARIA FUNDO DE INVESTI,12.005.956/0001-65,70824.0,9816914.64,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,KINEA RENDIMENTOS FII,35.864.448/0001-38,50076.0,5127782.4,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,LOGCP FII CLOSED FUND,34.598.181/0001-11,84155.0,7472122.45,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,REC BRASILIA SA,08.771.864/0001-19,44957.0,4537510.01,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,SANTANDER PAPEIS IMOB CDI FDO INV IMOB,32.903.521/0001-45,2583.0,219555.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,SDI LOGISTICA RIO - FUNDO DE INVESTIMENT,16.671.412/0001-93,146336.0,13440961.6,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,VINCI GESTORA DE RECURSOS LTDA,11.077.576/0001-73,54350.0,5815450.0,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,VINCI LOGISTICA FDO INV IMOB - FII,24.853.044/0001-22,582.0,6324538.08,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,XP CREDITO IMOBILIARIO - FDO INV IMOB,28.516.301/0001-91,82437.0,8284918.5,5.011779391572442
2021/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,XP LOG FII,26.502.794/0001-85,89348.0,9443190.12,5.011779391572442
2020/09,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,FII LUVEIRA,17.143.998/0001-86,11545.0,1668252.5,5.011779391572442
2020/09,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,VBI FL 4440 FII,13.022.993/0001-44,32033.0,1128522.59,5.011779391572442
2020/09,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,VBI LOGISTICO,30.629.603/0001-18,19786.0,2438228.78,5.011779391572442
2020/09,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,3719038.0,VILLE DE FRANCE EMPREENDIMENTOS IMOBILIA,06.994.672/0001-46,107871.0,14204453.28,5.011779391572442
2020/03,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,1689613.0,SANT AGENCIA IMOB,16.915.840/0001-14,63874.0,7448347.14,5.005351277862423
2020/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA - FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,1689613.0,REAL STATE INVEST IMOB E PARTICIP SA,08.906.484/0001-44,19959.0,2554752.0,5.005351277862423
2018/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,1689613.0,FI IMOB RIO BRAVO RENDA CORPORATIVA,03.683.056/0001-86,32639.0,4895850.0,5.005351277862423
2018/06,BRADESCO CARTEIRA IMOBILIARIA ATIVA,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,1689613.0,FII CSHGJHSF,11.260.134/0001-68,38060.0,5709000.0,5.005351277862423
2018/03,BRADESCO CARTEIRA IMOBILIARIA ATIVA,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,1689613.0,BB PROGRESSIV II FII,14.410.722/0001-29,63604.0,9502437.6,5.005351277862423
2018/03,BRADESCO CARTEIRA IMOBILIARIA ATIVA,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,1689613.0,CSHG BRASIL SHOP FII,08.431.747/0001-06,4949.0,11798416.0,5.005351277862423
2018/03,BRADESCO CARTEIRA IMOBILIARIA ATIVA,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,1689613.0,CSHG REAL ESTATE FII,09.072.017/0001-29,9768.0,14896200.0,5.005351277862423
2018/03,BRADESCO CARTEIRA IMOBILIARIA ATIVA,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,1689613.0,FI IMOB BTG CORP OFC,08.924.783/0001-01,128804.0,13838701.76,5.005351277862423
2018/03,BRADESCO CARTEIRA IMOBILIARIA ATIVA,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,1689613.0,FII CENESP,13.551.286/0001-45,240.0,22068.0,5.005351277862423
2018/03,BRADESCO CARTEIRA IMOBILIARIA ATIVA,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,20.216.935/0001-17,1689613.0,FII CSHG LOG,11.728.688/0001-47,2314.0,3479723.78,5.005351277862423
